time	iter	Acc	celoss	featloss	l2sp
Sep  3 11:11:5	99	1.62	121.65	21.16	10.22
Sep  3 11:12:4	199	5.19	116.1	23.44	17.94
Sep  3 11:13:2	299	12.05	110.16	24.91	25.55
Sep  3 11:14:1	399	17.83	104.15	27.7	33.29
Sep  3 11:14:5	499	23.54	97.88	30.14	41.04
Sep  3 11:15:4	599	28.38	92.38	33.82	48.43
Sep  3 11:16:3	699	33.63	86.93	35.97	55.34
Sep  3 11:17:1	799	37.54	82.44	37.76	61.77
Sep  3 11:18:0	899	40.66	78.37	38.97	67.75
Sep  3 11:18:4	999	43.94	74.63	40.34	73.44
Sep  3 11:19:3	1099	46.53	71.65	40.62	78.76
Sep  3 11:20:1	1199	50.35	68.02	41.8	83.79
Sep  3 11:21:0	1299	52.27	65.63	42.31	88.57
Sep  3 11:21:5	1399	54.1	63.12	43.32	93.21
Sep  3 11:22:3	1499	55.19	61.39	43.44	97.48
Sep  3 11:23:2	1599	55.17	59.24	44.08	101.58
Sep  3 11:24:1	1699	57.41	57.5	44.04	105.53
Sep  3 11:24:5	1799	58.68	55.3	44.56	109.29
Sep  3 11:25:4	1899	58.24	54.41	44.52	112.97
Sep  3 11:26:2	1999	60.08	52.75	44.65	116.43
Sep  3 11:27:1	2099	61.34	51.02	44.68	119.8
Sep  3 11:27:5	2199	62.88	49.8	45.05	123.04
Sep  3 11:28:4	2299	63.4	48.34	45.36	126.19
Sep  3 11:29:3	2399	63.93	46.86	45.68	129.19
Sep  3 11:30:1	2499	64.81	45.96	45.92	132.09
Sep  3 11:31:0	2599	65.78	44.75	46.76	134.95
Sep  3 11:31:4	2699	66.17	43.79	46.13	137.68
Sep  3 11:32:2	2799	67.18	42.61	46.87	140.28
Sep  3 11:33:1	2899	66.75	42.71	46.08	142.85
Sep  3 11:34:0	2999	67.78	41.06	47.11	145.35
Sep  3 11:34:4	3099	69.05	40.03	47.23	147.77
Sep  3 11:35:3	3199	69.32	39.44	47.41	150.13
Sep  3 11:36:2	3299	69.89	38.6	47.27	152.4
Sep  3 11:37:0	3399	69.27	38.34	47.48	154.63
Sep  3 11:37:5	3499	70.85	36.97	48.3	156.85
Sep  3 11:38:4	3599	70.59	36.64	48.14	158.93
Sep  3 11:39:2	3699	71.55	35.78	48.12	160.99
Sep  3 11:40:1	3799	71.25	35.79	47.73	163.0
Sep  3 11:40:5	3899	71.55	35.23	48.58	164.94
Sep  3 11:41:4	3999	71.71	34.37	48.84	166.84
Sep  3 11:42:3	4099	73.71	33.62	48.86	168.68
Sep  3 11:43:2	4199	72.41	33.43	48.79	170.53
Sep  3 11:44:0	4299	73.76	33.01	48.99	172.33
Sep  3 11:44:5	4399	74.16	32.3	48.99	174.1
Sep  3 11:45:3	4499	74.52	31.89	49.4	175.81
Sep  3 11:46:2	4599	74.77	31.0	50.01	177.47
Sep  3 11:47:1	4699	74.66	31.38	49.91	179.09
Sep  3 11:48:0	4799	74.64	31.02	50.58	180.65
Sep  3 11:48:4	4899	75.64	30.33	49.41	182.2
Sep  3 11:49:3	4999	75.68	29.84	50.01	183.74
Sep  3 11:50:1	5099	75.61	29.79	49.94	185.23
Sep  3 11:51:0	5199	76.49	29.12	49.93	186.72
Sep  3 11:51:4	5299	77.23	28.43	50.42	188.16
Sep  3 11:52:3	5399	77.51	28.29	51.2	189.6
