time	iter	Acc	celoss	featloss	l2sp
Sep  3 11:11:4	99	15.41	79.11	20.15	11.66
Sep  3 11:12:1	199	30.39	68.73	20.79	21.49
Sep  3 11:12:5	299	41.49	59.33	20.73	30.65
Sep  3 11:13:2	399	48.0	52.0	22.67	38.56
Sep  3 11:14:0	499	54.27	46.1	23.99	45.39
Sep  3 11:14:5	599	55.43	42.51	24.83	51.24
Sep  3 11:15:3	699	59.09	39.09	26.07	56.36
Sep  3 11:16:1	799	60.17	36.77	26.21	60.8
Sep  3 11:16:5	899	62.59	33.97	26.41	64.78
Sep  3 11:17:3	999	64.18	32.47	26.64	68.4
Sep  3 11:18:1	1099	64.63	30.84	27.37	71.75
Sep  3 11:18:5	1199	66.87	29.46	27.67	74.8
Sep  3 11:19:4	1299	66.94	28.49	27.91	77.65
Sep  3 11:20:2	1399	68.99	27.3	28.19	80.35
Sep  3 11:21:0	1499	69.78	26.27	29.19	82.85
Sep  3 11:21:4	1599	70.28	25.35	29.39	85.24
Sep  3 11:22:2	1699	71.75	24.2	28.61	87.45
Sep  3 11:23:0	1799	71.77	23.9	29.58	89.68
Sep  3 11:23:4	1899	72.35	23.28	29.85	91.76
Sep  3 11:24:2	1999	73.0	22.46	29.75	93.75
Sep  3 11:25:0	2099	73.75	21.84	30.24	95.66
Sep  3 11:25:5	2199	74.89	21.55	30.35	97.46
Sep  3 11:26:3	2299	75.15	20.47	30.64	99.18
Sep  3 11:27:1	2399	76.4	19.93	30.86	100.94
Sep  3 11:27:5	2499	76.32	19.92	30.56	102.59
Sep  3 11:28:3	2599	76.64	19.4	30.99	104.18
Sep  3 11:29:2	2699	78.26	18.69	31.23	105.75
Sep  3 11:30:0	2799	78.06	18.72	31.42	107.26
Sep  3 11:30:4	2899	78.26	18.23	31.83	108.74
Sep  3 11:31:2	2999	78.77	17.96	31.9	110.22
Sep  3 11:32:0	3099	80.19	16.92	32.19	111.63
Sep  3 11:32:4	3199	79.42	16.97	32.78	113.04
Sep  3 11:33:2	3299	80.93	16.28	33.0	114.38
Sep  3 11:34:0	3399	80.82	16.15	32.99	115.67
Sep  3 11:34:4	3499	81.42	16.09	33.11	116.98
Sep  3 11:35:3	3599	81.87	15.37	33.32	118.27
Sep  3 11:36:1	3699	81.79	15.16	33.13	119.48
Sep  3 11:36:5	3799	82.44	14.97	33.86	120.68
Sep  3 11:37:3	3899	82.48	14.77	33.77	121.9
Sep  3 11:38:1	3999	82.76	14.54	33.61	123.03
Sep  3 11:38:5	4099	83.08	14.68	33.86	124.21
Sep  3 11:39:3	4199	84.33	13.65	33.82	125.35
Sep  3 11:40:2	4299	83.92	13.77	33.89	126.46
Sep  3 11:41:0	4399	83.84	13.68	34.38	127.54
Sep  3 11:41:4	4499	83.84	13.41	34.71	128.64
Sep  3 11:42:2	4599	84.89	13.16	34.61	129.7
Sep  3 11:43:0	4699	85.67	12.95	35.03	130.76
Sep  3 11:43:5	4799	84.98	12.71	34.99	131.8
Sep  3 11:44:3	4899	85.24	12.71	35.34	132.79
Sep  3 11:45:1	4999	86.19	12.18	35.25	133.77
Sep  3 11:45:4	5099	85.76	12.21	35.55	134.73
Sep  3 11:46:2	5199	86.18	12.13	35.75	135.68
Sep  3 11:47:1	5299	87.05	11.57	35.9	136.61
Sep  3 11:47:5	5399	86.27	11.71	35.86	137.52
Sep  3 11:48:3	5499	86.44	11.7	35.89	138.44
Sep  3 11:49:1	5599	86.96	11.5	36.45	139.33
Sep  3 11:50:0	5699	87.29	11.31	36.49	140.18
Sep  3 11:50:4	5799	87.85	11.03	36.69	141.04
Sep  3 11:51:2	5899	87.82	11.09	36.35	141.89
Sep  3 11:51:5	5999	87.43	11.25	36.5	142.75
Sep  3 11:52:3	6099	88.3	10.58	36.69	143.61
Sep  3 11:53:1	6199	88.4	10.4	37.1	144.45
Sep  3 11:53:5	6299	88.54	10.3	37.68	145.26
Sep  3 11:54:4	6399	88.73	10.17	37.22	146.06
Sep  3 11:55:2	6499	89.44	9.65	37.87	146.85
Sep  3 11:55:5	6599	89.2	9.68	37.38	147.68
Sep  3 11:56:3	6699	88.96	10.04	37.61	148.46
Sep  3 11:57:1	6799	88.64	10.05	37.53	149.22
Sep  3 11:58:0	6899	88.84	9.92	37.72	149.95
Sep  3 11:58:4	6999	89.5	9.55	37.48	150.68
Sep  3 11:59:1	7099	88.88	9.81	37.97	151.43
Sep  3 11:59:5	7199	89.44	9.57	37.96	152.17
Sep  3 12:00:3	7299	89.94	9.07	38.01	152.86
Sep  3 12:01:2	7399	89.96	8.99	38.23	153.6
Sep  3 12:01:5	7499	90.22	8.97	38.37	154.3
Sep  3 12:02:3	7599	90.34	9.15	38.35	155.01
Sep  3 12:03:1	7699	90.39	8.71	38.84	155.69
Sep  3 12:03:5	7799	90.0	8.83	38.69	156.4
Sep  3 12:04:3	7899	89.96	9.06	38.84	157.08
Sep  3 12:05:1	7999	90.8	8.52	38.89	157.74
Sep  3 12:06:0	8099	91.23	8.42	39.08	158.39
Sep  3 12:06:4	8199	90.93	8.43	39.22	159.03
