time	iter	Acc	celoss	featloss	l2sp
Aug 22 11:29:3	0	1.49	22.44	16.78	141.84
Aug 22 11:30:1	100	32.91	14.02	12.74	142.29
Aug 22 11:30:5	200	46.87	10.48	12.13	142.94
Aug 22 11:31:3	300	53.81	8.98	11.6	143.45
Aug 22 11:32:1	400	58.66	7.79	11.55	143.85
Aug 22 11:32:5	500	60.37	7.31	11.58	144.19
Aug 22 11:33:3	600	62.69	7.0	11.39	144.46
Aug 22 11:34:1	700	64.03	6.69	11.42	144.69
Aug 22 11:35:0	800	65.6	6.35	11.35	144.91
Aug 22 11:35:3	900	66.27	6.17	11.54	145.09
Aug 22 11:36:2	1000	67.01	6.08	11.46	145.27
Aug 22 11:37:0	1100	69.03	5.87	11.75	145.43
Aug 22 11:37:4	1200	67.01	5.97	11.55	145.56
Aug 22 11:38:2	1300	68.88	5.72	11.62	145.69
Aug 22 11:39:0	1400	68.13	5.77	11.48	145.81
Aug 22 11:39:4	1500	68.13	5.76	11.84	145.91
Aug 22 11:40:3	1600	68.96	5.75	11.68	146.01
Aug 22 11:41:1	1700	68.66	5.63	11.63	146.11
Aug 22 11:41:5	1800	69.03	5.72	11.7	146.18
Aug 22 11:42:3	1900	70.3	5.55	11.8	146.26
Aug 22 11:43:1	2000	69.93	5.54	11.86	146.33
Aug 22 11:43:5	2100	70.37	5.52	11.8	146.4
Aug 22 11:44:3	2200	69.25	5.63	12.02	146.46
Aug 22 11:45:1	2300	70.52	5.57	11.96	146.52
Aug 22 11:45:5	2400	71.34	5.48	11.82	146.57
Aug 22 11:46:3	2500	70.6	5.48	11.9	146.63
Aug 22 11:47:1	2600	70.07	5.56	12.11	146.67
Aug 22 11:48:0	2700	70.07	5.53	12.02	146.72
Aug 22 11:48:4	2800	70.67	5.41	12.02	146.77
Aug 22 11:49:2	2900	70.9	5.45	12.04	146.82
Aug 22 11:50:0	3000	70.52	5.51	12.16	146.86
Aug 22 11:50:4	3100	70.97	5.48	12.28	146.89
Aug 22 11:51:3	3200	70.15	5.63	12.53	146.93
Aug 22 11:52:1	3300	69.93	5.55	12.27	146.97
Aug 22 11:53:0	3400	70.6	5.51	12.22	147.01
Aug 22 11:53:5	3500	71.19	5.45	12.28	147.03
Aug 22 11:54:3	3600	70.67	5.57	12.31	147.05
Aug 22 11:55:2	3700	72.01	5.35	12.36	147.08
Aug 22 11:56:1	3800	70.75	5.5	12.42	147.11
Aug 22 11:57:0	3900	72.09	5.39	12.44	147.13
Aug 22 11:57:5	4000	71.64	5.47	12.27	147.15
Aug 22 11:58:3	4100	71.04	5.48	12.27	147.2
Aug 22 11:59:2	4200	70.37	5.53	12.38	147.21
Aug 22 12:00:1	4300	70.52	5.66	12.52	147.23
Aug 22 12:01:0	4400	69.03	5.71	12.52	147.24
Aug 22 12:01:5	4500	71.19	5.51	12.34	147.26
Aug 22 12:02:4	4600	70.37	5.58	12.58	147.27
Aug 22 12:03:3	4700	72.01	5.54	12.52	147.3
Aug 22 12:04:2	4800	71.49	5.42	12.46	147.32
Aug 22 12:05:1	4900	71.34	5.5	12.45	147.32
Aug 22 12:05:5	5000	71.19	5.61	12.57	147.35
Aug 22 12:06:4	5100	71.57	5.46	12.44	147.36
Aug 22 12:07:3	5200	71.27	5.59	12.58	147.4
Aug 22 12:08:2	5300	72.01	5.59	12.53	147.42
Aug 22 12:09:0	5400	70.82	5.59	12.68	147.43
Aug 22 12:09:5	5500	72.69	5.42	12.65	147.45
Aug 22 12:10:4	5600	72.69	5.4	12.69	147.48
Aug 22 12:11:3	5700	73.28	5.47	12.67	147.5
Aug 22 12:12:2	5800	70.52	5.64	12.69	147.51
