time	iter	Acc	celoss	featloss	l2sp
Aug 22 11:30:3	99	2.2	116.81	212.35	2234.89
Aug 22 11:31:3	199	3.24	112.85	173.11	2190.05
Aug 22 11:32:4	299	4.47	107.72	196.13	2150.21
Aug 22 11:33:4	399	6.79	104.04	186.61	2114.91
Aug 22 11:34:4	499	6.94	103.51	158.91	2083.78
Aug 22 11:35:5	599	8.04	99.58	167.97	2056.58
Aug 22 11:37:0	699	7.07	101.13	143.44	2032.68
Aug 22 11:38:0	799	8.31	99.14	161.99	2011.86
Aug 22 11:39:1	899	9.98	95.25	134.6	1993.84
Aug 22 11:40:1	999	6.84	101.7	135.39	1978.26
Aug 22 11:41:2	1099	8.22	99.79	117.76	1964.92
Aug 22 11:42:2	1199	13.88	89.04	115.93	1953.4
Aug 22 11:43:3	1299	13.03	91.73	113.82	1943.67
Aug 22 11:44:3	1399	13.35	89.01	120.22	1935.48
Aug 22 11:45:4	1499	11.98	92.26	110.89	1928.5
Aug 22 11:46:5	1599	12.63	91.18	110.0	1922.77
Aug 22 11:47:5	1699	13.26	91.05	100.54	1918.06
Aug 22 11:49:0	1799	17.53	84.27	96.41	1914.06
Aug 22 11:50:0	1899	17.85	82.16	97.04	1910.84
Aug 22 11:51:1	1999	17.9	84.92	91.65	1908.24
Aug 22 11:52:2	2099	19.8	82.85	90.19	1906.25
Aug 22 11:53:3	2199	19.57	81.09	90.06	1904.7
Aug 22 11:54:4	2299	24.07	80.16	85.22	1903.5
Aug 22 11:55:4	2399	23.34	76.21	86.96	1902.57
Aug 22 11:56:5	2499	17.95	83.47	87.55	1902.01
Aug 22 11:58:0	2599	20.62	81.46	84.47	1901.69
Aug 22 11:59:1	2699	24.82	74.84	85.06	1901.64
Aug 22 12:00:2	2799	24.69	73.95	86.48	1901.64
Aug 22 12:01:3	2899	21.3	80.2	83.18	1901.85
Aug 22 12:02:5	2999	23.19	76.82	83.4	1902.22
Aug 22 12:04:0	3099	23.54	77.02	82.1	1902.64
Aug 22 12:05:1	3199	26.64	72.48	83.66	1903.18
Aug 22 12:06:1	3299	26.16	75.37	81.2	1903.87
Aug 22 12:07:2	3399	23.02	77.58	81.21	1904.67
Aug 22 12:08:2	3499	26.93	71.94	81.9	1905.37
Aug 22 12:09:3	3599	27.23	72.38	80.93	1906.25
Aug 22 12:10:4	3699	26.01	73.2	81.12	1906.85
Aug 22 12:11:5	3799	28.93	72.5	81.29	1907.78
Aug 22 12:13:0	3899	29.25	70.79	81.15	1908.7
Aug 22 12:14:2	3999	28.36	72.23	80.66	1909.64
Aug 22 12:15:3	4099	27.48	71.11	82.81	1910.41
Aug 22 12:16:3	4199	30.28	69.4	81.74	1911.2
Aug 22 12:17:4	4299	30.88	67.94	81.22	1911.95
Aug 22 12:18:5	4399	29.88	68.65	81.59	1912.68
Aug 22 12:20:0	4499	33.48	64.07	82.3	1913.35
Aug 22 12:21:0	4599	31.83	67.07	81.73	1914.04
Aug 22 12:22:1	4699	26.59	74.91	83.55	1914.45
Aug 22 12:23:2	4799	30.26	69.56	81.1	1915.25
Aug 22 12:24:3	4899	31.8	67.28	79.88	1915.68
Aug 22 12:25:3	4999	32.65	68.0	79.56	1915.85
Aug 22 12:26:5	5099	33.43	65.06	81.24	1916.18
Aug 22 12:28:0	5199	35.8	61.14	81.92	1916.26
Aug 22 12:29:0	5299	29.58	70.47	82.01	1916.43
Aug 22 12:30:1	5399	33.48	65.28	81.67	1916.66
Aug 22 12:31:1	5499	35.59	63.94	80.47	1916.86
Aug 22 12:32:2	5599	37.24	62.01	81.01	1917.02
Aug 22 12:33:3	5699	37.64	61.77	81.23	1917.09
Aug 22 12:34:4	5799	37.49	62.19	80.25	1917.21
Aug 22 12:35:5	5899	34.57	66.2	81.14	1917.27
Aug 22 12:37:0	5999	32.45	69.77	79.98	1917.23
Aug 22 12:38:0	6099	34.2	63.47	81.71	1917.28
Aug 22 12:39:1	6199	36.3	62.8	81.16	1917.3
Aug 22 12:40:3	6299	37.12	63.36	80.85	1917.32
Aug 22 12:41:3	6399	36.49	64.85	80.1	1917.41
Aug 22 12:42:4	6499	40.36	58.22	82.21	1917.49
Aug 22 12:44:0	6599	40.77	56.75	82.2	1917.44
Aug 22 12:45:1	6699	38.76	59.72	81.26	1917.47
Aug 22 12:46:2	6799	38.61	58.32	83.29	1917.52
Aug 22 12:47:3	6899	41.54	57.43	81.23	1917.58
Aug 22 12:48:4	6999	40.49	58.13	81.58	1917.47
Aug 22 12:49:4	7099	42.33	56.96	82.17	1917.54
Aug 22 12:50:5	7199	39.94	58.04	82.57	1917.74
Aug 22 12:52:0	7299	42.54	56.49	82.46	1917.67
Aug 22 12:53:1	7399	41.81	57.68	82.07	1917.65
Aug 22 12:54:2	7499	41.07	58.82	80.56	1917.61
Aug 22 12:55:4	7599	43.43	54.9	82.65	1917.72
Aug 22 12:56:5	7699	43.71	56.72	81.05	1917.67
Aug 22 12:58:0	7799	43.56	55.27	82.27	1917.69
Aug 22 12:59:1	7899	43.84	54.25	81.59	1917.68
Aug 22 13:00:1	7999	41.14	58.05	80.38	1917.65
Aug 22 13:01:2	8099	41.27	57.97	82.62	1917.71
Aug 22 13:02:3	8199	41.21	59.1	81.86	1917.6
Aug 22 13:03:4	8299	45.76	55.05	80.9	1917.59
Aug 22 13:04:5	8399	41.86	56.71	81.6	1917.67
Aug 22 13:06:0	8499	44.09	55.38	82.59	1917.58
Aug 22 13:07:1	8599	45.53	53.33	82.52	1917.42
Aug 22 13:08:1	8699	38.09	60.24	83.15	1917.32
Aug 22 13:09:3	8799	47.38	50.0	83.16	1917.28
Aug 22 13:10:3	8899	43.98	54.67	82.01	1917.4
Aug 22 13:11:4	8999	48.53	51.47	82.25	1917.44
Aug 22 13:12:5	9099	44.43	54.05	82.83	1917.63
Aug 22 13:14:0	9199	51.02	48.22	82.17	1917.55
Aug 22 13:15:0	9299	40.59	59.19	80.69	1917.51
Aug 22 13:16:1	9399	47.58	53.57	81.02	1917.33
Aug 22 13:17:2	9499	47.26	52.87	81.27	1917.64
Aug 22 13:18:4	9599	43.81	55.87	81.27	1917.62
Aug 22 13:19:4	9699	47.4	53.07	80.79	1917.7
Aug 22 13:20:5	9799	46.88	53.87	81.68	1917.62
Aug 22 13:22:0	9899	51.43	47.62	83.61	1917.68
Aug 22 13:23:1	9999	49.48	49.19	82.93	1917.65
Aug 22 13:24:2	10099	43.59	55.48	82.1	1917.69
Aug 22 13:25:3	10199	49.32	49.77	82.46	1917.72
Aug 22 13:26:4	10299	47.6	51.55	81.76	1917.85
Aug 22 13:27:5	10399	44.49	55.1	81.92	1917.9
Aug 22 13:28:5	10499	44.86	54.37	80.89	1918.12
Aug 22 13:30:0	10599	40.66	59.05	83.07	1918.08
Aug 22 13:31:1	10699	47.68	52.33	82.1	1918.0
Aug 22 13:32:2	10799	49.38	51.43	81.08	1918.02
Aug 22 13:33:3	10899	48.2	51.35	82.63	1918.09
Aug 22 13:34:4	10999	48.65	50.46	82.64	1918.13
Aug 22 13:36:0	11099	46.35	52.65	80.97	1918.06
Aug 22 13:37:1	11199	51.45	48.59	82.01	1917.92
Aug 22 13:38:2	11299	52.07	48.42	82.9	1918.1
Aug 22 13:39:3	11399	52.8	45.97	82.74	1917.94
Aug 22 13:40:4	11499	45.11	55.54	81.69	1917.75
Aug 22 13:41:5	11599	47.6	51.73	82.49	1917.95
Aug 22 13:43:0	11699	48.31	50.5	83.27	1917.97
Aug 22 13:44:1	11799	51.02	49.98	81.21	1918.03
Aug 22 13:45:2	11899	51.22	49.16	82.73	1918.12
Aug 22 13:46:3	11999	49.6	50.13	82.64	1918.18
Aug 22 13:47:4	12099	50.13	49.94	82.52	1918.24
Aug 22 13:48:5	12199	48.77	52.22	81.14	1918.12
Aug 22 13:49:5	12299	51.42	49.47	82.3	1917.96
Aug 22 13:51:1	12399	45.8	54.23	81.54	1918.28
Aug 22 13:52:1	12499	46.95	52.48	82.61	1918.37
Aug 22 13:53:2	12599	49.13	50.25	82.06	1918.35
Aug 22 13:54:3	12699	38.0	63.04	82.75	1918.3
Aug 22 13:55:4	12799	47.8	51.44	81.77	1918.15
Aug 22 13:56:5	12899	54.09	47.02	81.48	1918.17
Aug 22 13:58:0	12999	50.82	49.3	83.09	1918.23
Aug 22 13:59:0	13099	50.07	50.76	81.52	1918.01
Aug 22 14:00:2	13199	49.03	51.37	82.04	1917.98
Aug 22 14:01:3	13299	52.84	46.17	83.29	1918.14
Aug 22 14:02:4	13399	53.22	46.46	82.95	1918.3
Aug 22 14:03:5	13499	51.69	47.5	83.09	1918.34
Aug 22 14:04:5	13599	52.05	48.84	82.01	1918.12
Aug 22 14:06:0	13699	48.53	51.9	82.01	1918.07
Aug 22 14:07:1	13799	52.4	48.32	83.04	1918.22
Aug 22 14:08:1	13899	49.83	50.91	82.38	1917.91
Aug 22 14:09:2	13999	50.73	51.52	81.14	1918.04
Aug 22 14:10:3	14099	52.74	46.17	82.45	1918.08
Aug 22 14:11:4	14199	49.3	50.44	83.24	1918.04
Aug 22 14:12:5	14299	51.53	48.6	81.97	1918.15
Aug 22 14:14:0	14399	54.54	46.5	81.86	1918.12
Aug 22 14:15:1	14499	51.74	50.44	81.21	1918.06
Aug 22 14:16:3	14599	53.12	49.47	81.11	1918.14
Aug 22 14:17:4	14699	56.21	44.56	83.25	1918.16
Aug 22 14:18:4	14799	54.29	48.36	82.04	1918.02
Aug 22 14:19:5	14899	56.42	45.0	82.29	1917.97
Aug 22 14:21:0	14999	55.07	45.61	82.08	1917.94
Aug 22 14:22:2	15099	52.62	47.79	81.57	1918.16
Aug 22 14:23:3	15199	44.01	55.8	82.96	1918.23
Aug 22 14:24:4	15299	49.58	50.89	82.11	1918.29
Aug 22 14:25:5	15399	51.95	47.55	82.17	1918.13
Aug 22 14:27:0	15499	52.52	48.72	81.43	1918.39
Aug 22 14:28:1	15599	50.43	49.87	81.53	1918.17
Aug 22 14:29:2	15699	51.62	48.71	82.52	1918.15
Aug 22 14:30:3	15799	54.24	45.59	82.31	1918.18
Aug 22 14:31:4	15899	52.89	48.31	81.53	1918.17
Aug 22 14:33:0	15999	54.12	45.53	83.3	1918.32
Aug 22 14:34:1	16099	58.46	41.7	82.43	1918.27
Aug 22 14:35:2	16199	47.6	52.94	80.76	1918.2
Aug 22 14:36:3	16299	53.69	45.97	82.98	1918.29
Aug 22 14:37:4	16399	55.52	45.26	81.85	1918.16
Aug 22 14:38:5	16499	55.97	43.68	83.5	1918.27
Aug 22 14:40:0	16599	55.86	44.27	82.84	1918.32
Aug 22 14:41:1	16699	55.87	44.56	82.52	1918.24
Aug 22 14:42:2	16799	49.83	49.37	83.01	1918.06
Aug 22 14:43:3	16899	45.63	51.81	83.94	1918.06
Aug 22 14:44:4	16999	59.39	41.95	82.28	1918.19
Aug 22 14:45:5	17099	45.41	55.35	82.01	1918.25
Aug 22 14:47:0	17199	51.77	49.63	80.76	1918.12
Aug 22 14:48:2	17299	51.2	48.71	82.26	1918.26
Aug 22 14:49:3	17399	51.15	48.88	82.12	1918.19
Aug 22 14:50:4	17499	51.5	48.42	82.11	1918.16
Aug 22 14:51:5	17599	49.82	51.15	82.55	1918.32
Aug 22 14:53:0	17699	55.91	44.82	81.97	1918.19
Aug 22 14:54:1	17799	49.28	50.57	82.04	1918.25
Aug 22 14:55:2	17899	47.38	53.11	81.79	1918.1
Aug 22 14:56:3	17999	55.64	44.22	82.68	1918.19
Aug 22 14:57:4	18099	55.24	46.14	82.51	1918.3
Aug 22 14:58:5	18199	55.51	45.68	81.85	1918.53
Aug 22 15:00:0	18299	52.89	47.11	82.46	1918.58
Aug 22 15:01:1	18399	54.22	45.42	82.15	1918.29
Aug 22 15:02:2	18499	52.95	47.9	82.37	1918.18
Aug 22 15:03:3	18599	49.05	50.87	81.93	1918.1
Aug 22 15:04:4	18699	55.64	45.82	82.02	1918.27
Aug 22 15:05:5	18799	55.07	44.97	83.52	1918.31
Aug 22 15:07:0	18899	55.49	46.19	81.96	1918.42
Aug 22 15:08:1	18999	53.69	47.33	81.52	1918.45
Aug 22 15:09:2	19099	55.89	46.09	81.88	1918.32
Aug 22 15:10:3	19199	54.39	45.93	82.32	1918.63
Aug 22 15:11:4	19299	58.06	43.89	82.12	1918.46
Aug 22 15:13:0	19399	50.75	52.06	80.66	1918.51
Aug 22 15:14:1	19499	56.46	45.6	81.99	1918.45
Aug 22 15:15:2	19599	55.49	44.5	83.0	1918.59
Aug 22 15:16:3	19699	55.27	44.89	83.17	1918.53
Aug 22 15:17:4	19799	56.71	43.86	82.9	1918.66
Aug 22 15:19:0	19899	58.26	43.07	82.83	1918.63
Aug 22 15:20:1	19999	48.55	52.5	83.56	1918.81
Aug 22 15:21:2	20099	53.72	45.75	83.01	1918.87
Aug 22 15:22:4	20199	52.24	47.86	82.97	1918.82
Aug 22 15:23:5	20299	58.04	41.66	83.82	1918.86
Aug 22 15:25:0	20399	53.79	45.95	84.68	1918.91
Aug 22 15:26:1	20499	58.48	43.16	81.87	1918.71
Aug 22 15:27:2	20599	55.71	45.96	82.4	1918.88
Aug 22 15:28:2	20699	58.22	42.77	83.22	1919.0
Aug 22 15:29:3	20799	48.65	52.28	82.64	1919.13
Aug 22 15:30:4	20899	51.38	49.88	81.82	1919.18
Aug 22 15:31:5	20999	55.41	44.79	82.99	1919.01
Aug 22 15:33:0	21099	55.41	45.19	82.89	1918.78
Aug 22 15:34:1	21199	52.3	50.36	81.92	1918.77
Aug 22 15:35:2	21299	60.08	41.4	83.34	1918.68
Aug 22 15:36:3	21399	53.34	47.56	84.71	1918.72
Aug 22 15:37:4	21499	53.39	47.48	83.08	1918.69
Aug 22 15:38:5	21599	55.04	46.45	83.33	1918.64
Aug 22 15:40:0	21699	55.57	45.97	82.35	1918.51
Aug 22 15:41:0	21799	52.89	46.93	83.44	1918.6
Aug 22 15:42:1	21899	49.08	50.11	83.51	1918.75
Aug 22 15:43:2	21999	48.78	53.85	80.96	1918.69
Aug 22 15:44:2	22099	54.29	46.1	83.55	1918.79
Aug 22 15:45:3	22199	59.56	41.98	81.99	1918.92
Aug 22 15:46:3	22299	59.81	42.12	82.45	1918.87
Aug 22 15:47:4	22399	57.17	44.98	81.71	1918.88
Aug 22 15:48:5	22499	56.57	44.75	83.02	1918.87
Aug 22 15:49:5	22599	57.96	42.73	83.11	1918.87
Aug 22 15:51:0	22699	56.82	45.89	82.17	1918.96
Aug 22 15:52:1	22799	59.79	42.14	82.1	1919.15
Aug 22 15:53:1	22899	56.32	44.47	84.15	1918.94
Aug 22 15:54:2	22999	54.64	44.89	83.17	1919.1
Aug 22 15:55:3	23099	58.48	43.28	82.11	1918.82
Aug 22 15:56:4	23199	56.06	45.29	82.41	1918.88
Aug 22 15:57:4	23299	59.89	41.55	82.19	1918.88
Aug 22 15:58:5	23399	56.36	44.01	82.13	1919.02
Aug 22 15:59:5	23499	55.97	45.63	82.76	1919.05
Aug 22 16:01:1	23599	58.09	44.39	81.97	1919.05
Aug 22 16:02:2	23699	52.3	48.01	83.43	1918.83
Aug 22 16:03:2	23799	56.29	42.97	84.88	1918.75
Aug 22 16:04:3	23899	54.87	45.53	82.94	1918.98
Aug 22 16:05:4	23999	58.54	42.83	82.3	1919.08
Aug 22 16:06:5	24099	60.81	40.75	83.02	1918.79
Aug 22 16:08:0	24199	49.17	51.11	82.18	1918.99
Aug 22 16:09:0	24299	63.16	39.43	83.04	1919.07
Aug 22 16:10:0	24399	59.89	43.0	82.08	1919.19
Aug 22 16:11:1	24499	59.28	41.63	83.88	1919.02
Aug 22 16:12:2	24599	58.34	42.64	83.12	1919.16
Aug 22 16:13:2	24699	57.12	45.69	82.17	1919.19
Aug 22 16:14:3	24799	56.07	45.15	81.95	1919.05
Aug 22 16:15:4	24899	57.57	42.88	82.08	1919.25
Aug 22 16:16:5	24999	58.48	43.2	83.6	1919.32
Aug 22 16:18:0	25099	57.06	42.84	84.07	1919.34
Aug 22 16:19:1	25199	55.94	46.2	81.93	1919.2
Aug 22 16:20:2	25299	47.98	51.06	84.35	1919.35
Aug 22 16:21:3	25399	57.31	45.45	81.31	1919.3
Aug 22 16:22:4	25499	48.47	53.12	83.79	1919.15
Aug 22 16:23:5	25599	56.89	43.06	83.1	1919.22
Aug 22 16:25:0	25699	55.89	46.23	82.32	1919.24
Aug 22 16:26:0	25799	56.96	43.94	83.19	1919.35
Aug 22 16:27:1	25899	44.64	61.61	83.66	1919.27
Aug 22 16:28:2	25999	60.68	39.14	84.43	1919.03
Aug 22 16:29:3	26099	59.46	42.76	81.84	1918.95
Aug 22 16:30:4	26199	58.27	43.33	82.61	1919.05
Aug 22 16:31:5	26299	56.91	42.75	83.75	1919.13
Aug 22 16:33:0	26399	59.74	41.21	82.63	1919.34
Aug 22 16:34:1	26499	53.2	46.5	83.53	1919.19
Aug 22 16:35:2	26599	60.44	41.86	83.04	1919.35
Aug 22 16:36:3	26699	54.39	46.1	82.66	1919.36
Aug 22 16:37:2	26799	57.12	43.31	82.92	1919.35
Aug 22 16:38:1	26899	59.86	41.43	82.7	1919.33
Aug 22 16:39:0	26999	54.97	46.26	82.76	1919.24
Aug 22 16:39:5	27099	59.36	42.77	82.05	1919.34
Aug 22 16:40:4	27199	52.57	47.86	81.84	1919.38
Aug 22 16:41:3	27299	59.51	40.63	83.01	1919.79
Aug 22 16:42:2	27399	57.07	43.1	83.58	1919.99
Aug 22 16:43:1	27499	59.49	41.55	82.82	1919.68
Aug 22 16:44:0	27599	56.81	44.1	83.79	1919.69
Aug 22 16:44:5	27699	59.01	41.53	83.63	1919.47
Aug 22 16:45:3	27799	53.99	47.43	83.78	1919.33
Aug 22 16:46:0	27899	57.79	42.09	82.97	1919.34
Aug 22 16:46:4	27999	61.83	39.29	83.78	1919.32
Aug 22 16:47:1	28099	61.58	39.61	84.51	1919.33
Aug 22 16:47:4	28199	56.29	44.83	83.19	1919.25
Aug 22 16:48:1	28299	54.42	47.75	81.92	1919.39
Aug 22 16:48:5	28399	54.4	46.58	82.27	1919.58
Aug 22 16:49:2	28499	55.77	46.28	82.76	1919.7
Aug 22 16:49:5	28599	57.21	44.39	82.78	1919.87
Aug 22 16:50:3	28699	59.78	41.54	82.9	1919.69
Aug 22 16:51:1	28799	55.17	45.25	83.79	1919.53
Aug 22 16:52:2	28899	54.97	44.27	84.1	1919.62
Aug 22 16:53:4	28999	63.8	38.56	82.84	1919.51
Aug 22 16:54:5	29099	58.48	43.8	81.71	1919.26
Aug 22 16:56:0	29199	60.24	41.26	83.28	1919.19
Aug 22 16:57:1	29299	52.77	48.31	82.8	1919.14
Aug 22 16:58:3	29399	58.32	42.95	83.0	1919.37
Aug 22 16:59:4	29499	59.09	41.62	83.24	1919.66
Aug 22 17:01:0	29599	54.72	46.14	82.47	1919.67
Aug 22 17:02:1	29699	58.48	43.01	82.95	1919.77
Aug 22 17:03:3	29799	58.19	42.92	82.85	1919.65
Aug 22 17:04:4	29899	55.24	43.15	86.3	1919.76
Aug 22 17:05:5	29999	56.54	44.37	83.79	1919.81
