time	iter	Acc	celoss	featloss	l2sp
Aug 22 11:30:2	99	6.6	82.7	175.88	1988.89
Aug 22 11:31:1	199	10.95	78.03	184.38	1949.9
Aug 22 11:32:0	299	8.47	83.09	174.33	1915.08
Aug 22 11:33:0	399	13.56	72.26	153.79	1884.29
Aug 22 11:33:5	499	15.24	72.47	142.32	1856.93
Aug 22 11:34:4	599	13.43	74.31	132.74	1832.97
Aug 22 11:35:3	699	19.05	66.66	132.9	1812.02
Aug 22 11:36:3	799	20.02	66.14	119.0	1793.69
Aug 22 11:37:2	899	20.26	67.23	118.02	1777.78
Aug 22 11:38:1	999	24.38	62.08	113.9	1764.0
Aug 22 11:39:0	1099	23.25	62.74	111.69	1752.2
Aug 22 11:40:0	1199	24.61	61.14	99.04	1742.09
Aug 22 11:40:5	1299	29.85	56.76	96.53	1733.55
Aug 22 11:41:4	1399	28.96	56.9	92.46	1726.52
Aug 22 11:42:4	1499	31.03	55.64	87.21	1720.58
Aug 22 11:43:3	1599	30.54	55.17	86.52	1715.56
Aug 22 11:44:2	1699	31.38	54.92	81.56	1711.56
Aug 22 11:45:2	1799	30.04	55.83	78.47	1708.23
Aug 22 11:46:1	1899	25.71	60.63	78.51	1705.55
Aug 22 11:47:0	1999	28.92	57.43	76.83	1703.56
Aug 22 11:47:5	2099	30.78	56.53	74.39	1701.9
Aug 22 11:48:5	2199	36.18	50.9	71.37	1700.78
Aug 22 11:49:4	2299	31.34	54.4	71.35	1699.95
Aug 22 11:50:4	2399	29.63	56.54	69.58	1699.47
Aug 22 11:51:4	2499	35.82	51.68	68.61	1699.19
Aug 22 11:52:4	2599	37.16	50.08	66.9	1699.27
Aug 22 11:53:4	2699	32.59	54.58	67.06	1699.34
Aug 22 11:54:4	2799	37.71	49.36	65.75	1699.54
Aug 22 11:55:4	2899	36.19	51.27	64.81	1699.93
Aug 22 11:56:5	2999	35.0	51.72	65.25	1700.32
Aug 22 11:57:5	3099	33.45	55.11	64.15	1701.0
Aug 22 11:58:5	3199	38.34	49.12	63.71	1701.66
Aug 22 11:59:5	3299	36.03	50.77	63.14	1702.51
Aug 22 12:00:5	3399	38.12	49.54	63.39	1703.19
Aug 22 12:01:4	3499	42.59	45.39	63.56	1704.05
Aug 22 12:02:4	3599	40.06	47.74	63.12	1705.03
Aug 22 12:03:5	3699	39.03	47.34	63.05	1705.87
Aug 22 12:04:5	3799	35.04	52.13	62.72	1706.84
Aug 22 12:05:5	3899	31.88	54.68	62.4	1707.62
Aug 22 12:06:4	3999	42.63	45.73	62.76	1708.63
Aug 22 12:07:4	4099	36.74	51.18	62.51	1709.51
Aug 22 12:08:5	4199	36.23	52.07	62.66	1710.43
Aug 22 12:09:5	4299	42.11	46.3	61.83	1711.08
Aug 22 12:10:5	4399	40.75	46.88	62.34	1712.0
Aug 22 12:11:5	4499	40.97	46.51	62.73	1712.67
Aug 22 12:13:0	4599	42.41	45.79	62.35	1713.53
Aug 22 12:14:0	4699	39.83	48.13	62.26	1714.06
Aug 22 12:15:0	4799	46.06	42.51	62.36	1714.77
Aug 22 12:16:0	4899	44.29	44.33	62.68	1715.3
Aug 22 12:17:0	4999	43.92	44.2	62.04	1715.71
Aug 22 12:18:0	5099	38.75	49.76	62.26	1716.26
Aug 22 12:19:1	5199	45.93	41.86	62.36	1716.53
Aug 22 12:20:1	5299	45.67	43.39	62.7	1716.7
Aug 22 12:21:2	5399	44.29	44.63	62.69	1716.99
Aug 22 12:22:2	5499	48.88	39.46	62.63	1717.13
Aug 22 12:23:2	5599	46.19	43.09	62.85	1717.36
Aug 22 12:24:2	5699	48.6	40.49	62.65	1717.64
Aug 22 12:25:3	5799	41.7	47.72	63.5	1717.84
Aug 22 12:26:3	5899	47.44	41.71	62.54	1718.0
Aug 22 12:27:3	5999	46.81	42.26	62.09	1718.14
Aug 22 12:28:4	6099	47.78	41.63	62.89	1718.39
Aug 22 12:29:4	6199	46.66	43.4	62.52	1718.56
Aug 22 12:30:4	6299	44.53	44.01	62.97	1718.64
Aug 22 12:31:4	6399	55.37	35.42	62.82	1718.55
Aug 22 12:32:4	6499	49.55	40.18	62.37	1718.54
Aug 22 12:33:4	6599	52.67	37.28	62.87	1718.62
Aug 22 12:34:4	6699	47.44	41.12	62.39	1718.94
Aug 22 12:35:4	6799	45.84	43.4	63.02	1718.8
Aug 22 12:36:4	6899	38.3	51.74	63.0	1718.86
Aug 22 12:37:5	6999	42.37	46.51	62.99	1719.09
Aug 22 12:38:5	7099	54.42	36.82	62.82	1719.4
Aug 22 12:39:5	7199	49.12	40.49	62.85	1719.37
Aug 22 12:40:4	7299	49.42	40.42	62.19	1719.28
Aug 22 12:41:5	7399	55.47	35.62	62.88	1719.34
Aug 22 12:42:5	7499	46.66	44.91	63.07	1719.42
Aug 22 12:43:5	7599	50.93	39.04	62.73	1719.48
Aug 22 12:45:0	7699	45.28	43.35	62.87	1719.59
Aug 22 12:46:0	7799	49.61	40.4	62.74	1719.82
